teamIDfg,Team,Season,AVG,OBP,SLG,RBI,batter_SO,batter_BB,batter_war,ERA,SV,K/9,WHIP,oppenent_avg,BABIP,pitcher_war,FP,run_diff,Win_Percentage
9,NYY,1977,0.281,0.344,0.444,784,681,533,37.0,3.63,34,4.71,1.3,0.25,0.268,16.1,0.979,180,0.6172839506172839
10,OAK,1977,0.24,0.308,0.352,548,910,516,5.6,4.05,26,4.94,1.41,0.26,0.28,11.7,0.97,-144,0.391304347826087
11,SEA,1977,0.256,0.312,0.381,589,769,426,9.6,4.84,31,4.93,1.46,0.267,0.282,6.8,0.976,-231,0.3950617283950617
13,TEX,1977,0.27,0.342,0.405,704,904,596,29.3,3.56,31,5.28,1.28,0.249,0.274,18.9,0.982,110,0.5802469135802469
14,TOR,1977,0.252,0.316,0.365,552,819,499,1.9,4.58,20,4.86,1.51,0.272,0.293,10.1,0.974,-217,0.33540372670807456
16,ATL,1977,0.254,0.32,0.376,638,876,537,-6.6,4.87,31,5.7,1.58,0.273,0.3,9.5,0.972,-217,0.3765432098765432
17,CHC,1977,0.266,0.33,0.387,649,796,534,5.9,4.02,44,5.78,1.35,0.261,0.294,24.6,0.977,-47,0.5
18,CIN,1977,0.274,0.345,0.436,750,911,600,31.5,4.21,32,5.44,1.4,0.262,0.286,10.0,0.984,77,0.5432098765432098
21,HOU,1977,0.254,0.32,0.385,638,839,515,24.2,3.54,28,5.35,1.32,0.246,0.274,14.7,0.978,30,0.5
22,LAD,1977,0.265,0.335,0.418,729,896,588,29.1,3.22,39,5.67,1.24,0.246,0.277,23.1,0.981,187,0.6049382716049383
23,MIL,1977,0.258,0.314,0.389,598,862,443,10.7,4.32,25,4.52,1.42,0.262,0.28,10.3,0.978,-126,0.41358024691358025
24,MON,1977,0.26,0.318,0.402,622,877,478,21.0,4.01,33,5.2,1.35,0.249,0.272,10.8,0.98,-71,0.46296296296296297
